F,0.472,0.658,0.913,1.262,1.796,2.748,5.186,octile,pwv,Tsys
105.200,66.584,67.112,67.881,68.956,70.553,73.395,80.930,7,5.186,80.930
105.300,66.625,67.153,67.924,69.000,70.600,73.531,80.993,7,5.186,80.993
105.400,66.667,67.197,67.969,69.046,70.649,73.583,81.057,7,5.186,81.057
105.500,66.711,67.240,68.014,69.093,70.698,73.638,81.122,7,5.186,81.122
105.600,66.756,67.363,68.139,69.141,70.830,73.693,81.189,7,5.186,81.189
105.700,66.802,67.410,68.186,69.270,70.881,73.748,81.349,7,5.186,81.349
105.800,66.850,67.458,68.236,69.321,70.935,73.890,81.418,7,5.186,81.418
105.900,66.975,67.507,68.286,69.372,70.988,73.949,81.488,7,5.186,81.488
106.000,67.024,67.558,68.338,69.425,71.044,74.009,81.559,7,5.186,81.559
106.100,67.075,67.610,68.391,69.480,71.181,74.070,81.724,7,5.186,81.724
106.200,67.128,67.741,68.523,69.536,71.240,74.133,81.798,7,5.186,81.798
106.300,67.181,67.795,68.578,69.672,71.300,74.281,81.874,7,5.186,81.874
106.400,67.237,67.851,68.636,69.730,71.361,74.346,81.950,7,5.186,81.950
106.500,67.370,67.909,68.694,69.791,71.423,74.414,82.122,7,5.186,82.122
106.600,67.428,67.968,68.755,69.853,71.569,74.481,82.202,7,5.186,82.202
106.700,67.488,68.106,68.894,69.916,71.634,74.636,82.283,7,5.186,82.283
106.800,67.549,68.167,68.958,70.060,71.701,74.708,82.459,7,5.186,82.459
106.900,67.612,68.231,69.022,70.127,71.769,74.781,82.544,7,5.186,82.544
107.000,67.754,68.296,69.088,70.194,71.922,74.855,82.630,7,5.186,82.630
107.100,67.821,68.364,69.236,70.265,71.995,75.018,82.719,7,5.186,82.719
107.200,67.890,68.512,69.308,70.418,72.070,75.098,82.904,7,5.186,82.904
107.300,67.959,68.583,69.379,70.490,72.146,75.177,82.996,7,5.186,82.996
107.400,68.112,68.658,69.455,70.568,72.307,75.262,83.092,7,5.186,83.092
107.500,68.183,68.730,69.608,70.643,72.385,75.430,83.279,7,5.186,83.279
107.600,68.258,68.886,69.685,70.803,72.466,75.515,83.377,7,5.186,83.377
107.700,68.338,68.964,69.766,70.884,72.550,75.603,83.477,7,5.186,83.477
107.800,68.497,69.046,69.849,70.969,72.721,75.782,83.675,7,5.186,83.675
107.900,68.582,69.211,70.016,71.138,72.812,75.876,83.782,7,5.186,83.782
108.000,68.666,69.297,70.103,71.227,72.902,75.971,83.984,7,5.186,83.984
108.100,68.831,69.384,70.191,71.316,73.077,76.155,84.091,7,5.186,84.091
108.200,68.921,69.474,70.363,71.491,73.172,76.254,84.203,7,5.186,84.203
108.300,69.014,69.647,70.457,71.588,73.272,76.357,84.413,7,5.186,84.413
108.400,69.189,69.745,70.555,71.687,73.456,76.551,84.532,7,5.186,84.532
108.500,69.289,69.844,70.737,71.872,73.562,76.661,84.748,7,5.186,84.748
108.600,69.392,70.028,70.841,71.978,73.670,76.774,84.874,7,5.186,84.874
108.700,69.577,70.135,70.950,72.087,73.867,76.977,85.002,7,5.186,85.002
